tab,cell,entity,company,field,current,new,needs_reference_addition,note
Lease Comps,T98,LC-0090,Abridge,lr_date,2025-06-01,2026-04-01,,
Lease Comps,U98,LC-0090,Abridge,lr_type,Late Stage Venture,Series E,,
Lease Comps,V98,LC-0090,Abridge,lr_amt_M,300.0,316,,
Lease Comps,W98,LC-0090,Abridge,total_fund_M,757.5,1073.5,,
Lease Comps,T86,LC-0078,Actively AI,lr_date,2025-04-01,2026-04-28,,
Lease Comps,U86,LC-0078,Actively AI,lr_type,Series A,Series B,,
Lease Comps,V86,LC-0078,Actively AI,lr_amt_M,17.5,45,,
Lease Comps,W86,LC-0078,Actively AI,total_fund_M,22.5,68,,
Companies,G11,CO-0010,Auctor AI,hq,SF,NY,,pass-2 dual-source correction
Lease Comps,AA17,LC-0009,Auctor AI,hq,SF,NY,,
Lease Comps,T39,LC-0031,Baseten Labs,lr_date,2026-01-01,2026-06-22,,
Lease Comps,U39,LC-0031,Baseten Labs,lr_type,Late Stage Venture,Series F,,
Lease Comps,V39,LC-0031,Baseten Labs,lr_amt_M,300.0,1500.0,,
Lease Comps,W39,LC-0031,Baseten Labs,total_fund_M,585.0,2085.0,,
Lease Comps,T34,LC-0026,Bluefish AI,lr_date,2025-08-01,2026-04-14,,
Lease Comps,U34,LC-0026,Bluefish AI,lr_type,Series A,Series B,,
Lease Comps,V34,LC-0026,Bluefish AI,lr_amt_M,20.0,43.0,,
Lease Comps,W34,LC-0026,Bluefish AI,total_fund_M,24.0,68.0,,
Lease Comps,T102,LC-0094,Brex,lr_date,2025-01-01,2025-01-13,,
Lease Comps,U102,LC-0094,Brex,lr_type,Late Stage Venture,Debt,,"Debt Financing ($235M revolving credit facility, Citi + TPG Angelo Gordon, 2025-01-13) is the latest funding event; latest PRIMARY equity round: Series D-2, $300M, 2022-01-11, $12.3B valuation (Greenoaks + TCV)"
Lease Comps,V102,LC-0094,Brex,lr_amt_M,,235,,
Companies,G17,CO-0016,Candid Health,hq,NY,SF,,pass-2 dual-source correction
Lease Comps,AA40,LC-0032,Candid Health,hq,NY,SF,,
Lease Comps,T40,LC-0032,Candid Health,lr_date,2025-02-01,2026-07-22,,
Lease Comps,U40,LC-0032,Candid Health,lr_type,Series C,Series D,,
Lease Comps,V40,LC-0032,Candid Health,lr_amt_M,52.5,120.0,,
Lease Comps,W40,LC-0032,Candid Health,total_fund_M,99.8,219.5,,
Lease Comps,T87,LC-0079,Chime,lr_date,2024-08-01,2025-06-12,,
Lease Comps,U87,LC-0079,Chime,lr_type,Late Stage Venture,IPO,,"Public (IPO 2025-06-12, Nasdaq: CHYM)"
Lease Comps,V87,LC-0079,Chime,lr_amt_M,750.0,,,blank for public cos
Lease Comps,T28,LC-0020,Clay,lr_date,2025-06-01,2025-08-05,,
Lease Comps,W80,LC-0072,Cloudflare,total_fund_M,182.0,332,,
Lease Comps,T41,LC-0033,Cognition,lr_date,2025-09-01,2026-05-27,,
Lease Comps,U41,LC-0033,Cognition,lr_type,Series C,Series D,,
Lease Comps,V41,LC-0033,Cognition,lr_amt_M,400.0,1000,,
Lease Comps,W41,LC-0033,Cognition,total_fund_M,896.0,1900,,
Lease Comps,T69,LC-0061,Courier Health,lr_date,2024-07-01,2026-04-22,,
Lease Comps,U69,LC-0061,Courier Health,lr_type,Series A,Series B,,
Lease Comps,V69,LC-0061,Courier Health,lr_amt_M,16.5,50,,
Lease Comps,W69,LC-0061,Courier Health,total_fund_M,20.5,70.5,,
Lease Comps,T59,LC-0051,Current Bank,lr_date,2022-04-01,2026-06-11,,
Lease Comps,U59,LC-0051,Current Bank,lr_type,Late Stage Venture,Series E,,
Lease Comps,V59,LC-0051,Current Bank,lr_amt_M,220.0,80.0,,
Lease Comps,W59,LC-0051,Current Bank,total_fund_M,600.0,668,,
Lease Comps,T79,LC-0071,Cyera,lr_date,2025-12-01,2026-06-10,,
Lease Comps,U79,LC-0071,Cyera,lr_type,Late Stage Venture,Series G,YES,
Lease Comps,V79,LC-0071,Cyera,lr_amt_M,400.0,600.0,,
Lease Comps,W79,LC-0071,Cyera,total_fund_M,1700.0,2300,,
Companies,G34,CO-0033,Fay Health,hq,NY,SF,,pass-2 dual-source correction
Lease Comps,AA83,LC-0075,Fay Health,hq,NY,SF,,
Lease Comps,T90,LC-0082,Figma,lr_date,2021-06-01,2025-07-31,,
Lease Comps,U90,LC-0082,Figma,lr_type,Series E,IPO,,"Public (IPO 2025-07-31, NYSE:FIG)"
Lease Comps,V90,LC-0082,Figma,lr_amt_M,200.0,,,blank for public cos
Lease Comps,T75,LC-0067,Fireblocks,lr_date,2024-06-01,2022-01-01,,
Lease Comps,U75,LC-0067,Fireblocks,lr_type,Late Stage Venture,Series E,,
Lease Comps,V75,LC-0067,Fireblocks,lr_amt_M,,550,,
Lease Comps,T44,LC-0036,Garner Health,lr_date,2026-02-01,2026-05-28,,
Lease Comps,U44,LC-0036,Garner Health,lr_type,Series D,Series E,,
Lease Comps,V44,LC-0036,Garner Health,lr_amt_M,118.0,100,,
Lease Comps,W44,LC-0036,Garner Health,total_fund_M,219.3,319.3,,
Lease Comps,T10,LC-0002,GlossGenius,lr_date,2023-07-27,2026-07-21,,
Lease Comps,U10,LC-0002,GlossGenius,lr_type,Series C,Series D,,
