company_id,company,field,sheet_says,found,verdict,primary_source,date_checked
CO-0090,Warp,Total funding,$24M,$73M,CORRECTED,FinSMEs,2026-08-12
CO-0090,Warp,Latest round,Series A $18M 2025-06-18,Series B $50M 2023-06-01,CORRECTED,FinSMEs,2026-08-12
CO-0076,Scale AI,Total funding,"$15,900M","$1,600M",CORRECTED,FinSMEs,2026-08-12
CO-0076,Scale AI,Latest round,"Late Stage Venture $14,300M 2025-06-01","Series F $1,000M 2024-05-21",CORRECTED,FinSMEs,2026-08-12
CO-0020,Cloudflare,Total funding,$182M,$332M,CORRECTED,Cloudflare (company press release),2026-08-12
CO-0069,Privy,Latest round,Series A $18M 2023-11-01,"Venture round (Series B per some trackers), led by Ribbit Capital $15M 2025-03-19",CORRECTED,Fortune,2026-08-12
CO-0015,Brex,Latest round,Late Stage Venture 2025-01-01,"Acquired by Capital One (announced 2026-01-22, closed 2026-04-07, $5.15B) 2026-04-07",CORRECTED,Capital One (primary),2026-08-12
CO-0018,Chime,Latest round,Late Stage Venture $750M 2024-08-01,"Public (IPO 2025-06-12, Nasdaq: CHYM) $864M 2025-06-12",CORRECTED,CNBC,2026-08-12
CO-0034,Figma,Latest round,Series E $200M 2021-06-01,"Public (IPO 2025-07-31) 2025-07-31 [IPO on NYSE, ticker FIG, priced $33/share, ~$1.2B gross raised (majority to selling shareholders)]",CORRECTED,CNBC,2026-08-12
CO-0037,GlossGenius,Total funding,$72M,$125M,CORRECTED,ACCESS Newswire (company release),2026-08-12
CO-0037,GlossGenius,Latest round,Series C $28M 2023-07-27,Series D $44M 2026-07-21,CORRECTED,ACCESS Newswire (company release),2026-08-12
CO-0011,Baseten Labs,Total funding,$585M,"$2,085M",CORRECTED,Business Wire (company release),2026-08-12
CO-0011,Baseten Labs,Latest round,Late Stage Venture $300M 2026-01-01,"Series F $1,500M 2026-06-22",CORRECTED,Business Wire (company release),2026-08-12
CO-0021,Cognition,Total funding,$896M,"$1,900M",CORRECTED,TechCrunch,2026-08-12
CO-0021,Cognition,Latest round,Series C $400M 2025-09-01,"Series D $1,000M 2026-05-27",CORRECTED,TechCrunch,2026-08-12
CO-0077,Sierra AI,Total funding,$635M,"$1,585M",CORRECTED,TechCrunch,2026-08-12
CO-0077,Sierra AI,Latest round,Series C $350M 2025-09-01,growth round (reported by some outlets as Series E) $950M 2026-05-04,CORRECTED,TechCrunch,2026-08-12
CO-0072,Ramp,Total funding,"$2,300M","$3,000M",CORRECTED,TechCrunch,2026-08-12
CO-0072,Ramp,Latest round,Late Stage Venture $500M 2025-07-01,Series F $750M 2026-06-04,CORRECTED,TechCrunch,2026-08-12
CO-0027,Cyera,Total funding,"$1,700M","$2,300M",CORRECTED,Business Wire (company release),2026-08-12
CO-0027,Cyera,Latest round,Late Stage Venture $400M 2025-12-01,Series G $600M 2026-06-10,CORRECTED,Business Wire (company release),2026-08-12
